Symbol,Volume
CLFD,96500
CLGN,25500
CLIK,108500
CLIR,54000
CLLS,167400
CLMB,28100
CLMT,437600
CLNE,1266100
CLNN,105500
CLNNW,400
CLOA,65000
CLOD,200
CLOU,153300
CLOV,3868100
CLPS,11800
CLPT,109400
CLRB,189900
CLRO,1281600
CLSD,188000
CLSK,37181100
CLSKW,900000
CLSM,10300
CLST,10600
CLWT,22500
CLYM,112700
CMAX,537300
CMAXW,10000
CMBM,91400
CMCO,241000
CMCSA,18392600
CMCT,661400
CME,2752800
CMLS,24700
CMMB,53000
CMND,13700
CMPO,739200
CMPOW,25300
CMPR,106300
CMPS,541600
CMPX,508900
CMRX,92000
CMTL,295200
CNCR,2000
CNDT,1065500
CNET,16200
CNEY,225300
CNFR,1900
CNOB,127900
CNOBP,3700
CNSL,1688600
CNSP,3104100
CNTA,559200
CNTB,49800
CNTM,89600
CNTX,161400
CNTY,287000
CNVS,214600
CNXC,931000
CNXN,65200
COCH,62100
COCHW,230400
COCO,249200
COCP,14800
CODA,23600
CODX,336900
COEP,203800
COEPW,28200
COFS,17100
COGT,827300
COHU,189300
COIN,13215700
COKE,61800
COLB,1303500
COLL,457100
COLM,392900
COMM,3245200
COMT,241200
CONI,582300
CONL,9190500
COO,1312100
COOP,519100
COOT,6900
COOTW,14100
COPJ,6100
COPP,15800
CORT,788800
CORZ,13622200
CORZW,307800
CORZZ,66400
COSM,608000
COST,1438000
COWG,225400
COWS,5400
COYA,86900
CPB,2366200
CPBI,11200
CPHC,400
CPIX,23100
CPLS,5600
CPOP,32600
CPRT,4528000
CPRX,1152800
CPSH,25900
CPSS,29300
CPTN,21700
CPTNW,674500
CPZ,119900
CRAI,30600
CRBP,162000
CRBU,2793300
CRCT,512300
CRDF,543600
CRDL,376600
CRDO,2883400
CREG,36200
CRESW,11400
CRESY,561300
CREV,9600
CREVW,25500
CREX,89900
CRGO,44900
CRGOW,800
CRGX,186400
CRIS,44800
CRKN,16136800
CRMD,1206700
CRML,11200
CRMLW,2300
CRMT,81800
CRNC,3239100
CRNT,2553900
CRNX,368300
CRON,718100
CROX,1313100
CRSP,1189800
CRSR,472000
CRTO,790800
CRUS,502100
CRVL,40600
CRVO,129600
CRVS,393800
CRWD,6951300
CRWL,69100
CRWS,10000
CSA,300
CSB,10200
CSBR,13100
CSCI,3600
CSCO,14209600
CSF,800
CSGP,1913800
CSGS,380200
CSIQ,1574700
CSLMR,1300
CSLR,361800
CSLRW,3100
CSPI,56200
CSQ,211300
CSTE,28300
CSTL,294500
CSWC,199500
CSWCZ,1400
CSWI,110500
CSX,9605800
CTAS,1369600
CTBI,32700
CTCX,112600
CTEC,13200
CTHR,900
CTKB,668800
CTLP,423300
CTMX,851200
CTNM,48800
CTNT,72800
CTOR,106100
CTRM,48600
CTRN,142000
CTSH,2828800
CTSO,129400
CTXR,1735300
CUB,11700
CUBA,27100
CUBWW,15900
CUE,508600
CURI,153200
CURR,6200
CUTR,990900
CVAC,322600
CVBF,861400
CVCO,92500
CVGI,289900
CVGW,226500
CVKD,33400
CVLT,279800
CVRX,190500
CVV,18300
CWBC,63700
CWCO,50500
CWD,102300
CWST,232600
CXAI,839400
CXAIW,21800
CXDO,106300
CXSE,40800
CYBR,246200
CYCC,224300
CYCN,155700
CYN,374900
CYRX,562400
CYTH,28600
CYTK,1092100
CYTO,40500
CZAR,100
CZFS,36700
CZNC,24300
CZR,2313300
CZWI,20200
DADA,625700
DAIO,41700
DAKT,358300
DALI,1700
DALN,120900
DAPP,330300
DARE,38800
DASH,2741000
DATS,117100
DATSW,800
DAVE,284500
DAVEW,69400
DAWN,648500
DAX,1000
DBGI,10157400
DBVT,410800
DBX,2404600
DCAP,200
DCBO,53100
DCGO,602100
DCOM,261700
DCOMG,2800
DCOMP,2400
DCTH,261600
DDI,25100
DDIV,4300
DDOG,4365600
DECO,1700
DEMZ,3300
DENN,854000
DERM,40800
DEVS,26881100
DFGP,131500
DFGX,116800
DFLI,164900
DFLIW,5000
DGCB,75700
DGHI,169500
DGICA,160800
DGICB,1600
DGII,152200
DGLY,73200
DGRE,6900
DGRS,39400
DGRW,537600
DH,621700
DHAI,3000
DHAIW,100
DHC,949000
DHCNI,19800
DHCNL,2600
DHIL,31000
DIBS,75100
DIOD,734600
DIVD,1100
DJCO,6200
DJT,9089200
DJTWW,91100
DKNG,5694000
DLHC,15800
DLO,1222100
DLPN,22200
DLTH,30300
DLTR,3182500
DMAC,175500
DMAT,300
DMLP,143200
DMN,2951600
DMRC,80000
DMXF,28500
DNLI,1197300
DNTH,170500
DNUT,1043700
DOCU,2691100
DOGZ,17400
DOMH,9200
DOMO,176100
DOOO,264300
DORM,181400
DOX,614200
DOYU,72100
DPRO,760600
DRCT,94300
DRIO,412800
DRIV,59500
DRMA,20700
DRRX,65400
DRS,708500
DRTS,127700
DRTSW,57400
DRUG,428500
DRVN,329900
DSGN,141600
DSGR,36100
DSGX,192700
DSP,218600
DSWL,1300
DSY,16300
DSYWW,12800
DTCK,1900
DTCR,94100
DTI,80800
DTIL,79100
DTSQ,75000
DTSQR,109700
DTSS,63300
DTST,50100
DTSTW,1800
DUKH,800
DUKX,2600
DUO,938000
DUOL,875600
DUOT,220700
DVAL,9100
DVAX,1538400
DVLU,200
DVOL,1100
DVY,269400
DWAS,35700
DWAW,500
DWSH,74900
DWSN,6900
DWTX,11100
DWUS,100
DXCM,4142000
DXJS,11300
DXLG,406400
DXPE,210000
DXR,6600
DYAI,47600
DYCQ,11100
DYFI,6200
DYN,1053800
DYNI,17500
DYNXU,78900
DYTA,5100
EA,1859500
EAST,85300
EBAY,3192700
EBC,699300
EBIZ,3700
EBMT,13300
EBON,59400
EBTC,17400
ECBK,8900
ECDA,19900
ECOR,53600
ECOW,18200
ECPG,83500
ECX,172800
EDAP,125400
EDBL,1044300
EDIT,3228300
EDOC,11900
EDRY,6900
EDSA,15900
EDTK,3900
EDUC,50900
EEFT,212700
EEIQ,3900
EEMA,69300
EFAS,400
EFOI,18000
EFRA,100
EFSC,257200
EFSCP,200
EGAN,52400
EGBN,140600
EGHT,833000
EH,804300
EHGO,16200
EHLS,200
EHTH,148300
EJH,228100
EKG,100
EKSO,153200
ELAB,325823900
ELBM,53000
ELDN,234800
ELEV,398400
ELPW,629800
ELSE,7900
ELTK,7000
ELTX,10100
ELUT,38500
ELVA,115000
ELVN,159100
ELWS,19100
EM,38300
EMB,4765500
EMBC,1872700
EMCB,1500
EMCGR,23400
EMCGW,69800
EMEQ,4500
EMIF,100
EMKR,178200
EML,12900
EMXC,2065000
EMXF,2800
ENG,23200
ENGN,30400
ENGNW,13700
ENLT,29700
ENLV,133700
ENPH,4432000
ENSC,3573600
ENSG,302100
ENTA,410400
ENTG,2092400
ENTO,58800
ENTX,8900
ENVB,130000
ENVX,4262400
ENZL,6500
EOLS,539400
EOSE,3447800
EOSEW,52000
EPIX,255800
EPOW,7800
EPRX,14800
EPSN,15400
EQ,85800
EQIX,708100
EQRR,400
ERAS,746700
ERET,100
ERIC,23691600
ERIE,124900
ERII,467200
ERNA,242800
ERNZ,4300
ESCA,43700
ESEA,27300
ESGD,249800
ESGE,555200
ESGL,40500
ESGR,65400
ESGRO,12200
ESGRP,19300
ESGU,631000
ESHA,68400
ESHAR,200
ESLA,28000
ESLT,17400
ESMV,1000
ESN,7600
ESOA,289500
ESPO,11700
ESPR,7582900
ESQ,41100
ESSA,14800
ESTA,349800
ETEC,100
ETHA,8504300
ETNB,374800
ETON,355000
ETSY,4570700
EU,698900
EUDA,102200
EUFN,226500
EURK,2300
EVAX,36500
EVCM,86400
EVER,532400
EVGN,43600
EVGO,4975500
EVGOW,98900
EVGR,300
EVLV,5130500
