Symbol,Volume
JPM-K,219000
JPM-L,179900
JPM-M,128500
JQC,370100
JRI,97900
JRS,52600
JWN,4457000
JXN,422800
JXN-A,35900
K,1123400
KAI,110800
KAR,658300
KB,99400
KBDC,35100
KBH,783900
KBR,1137100
KD,2826500
KEN,10200
KEP,55600
KEX,335700
KEY,8209900
KEY-I,18900
KEY-J,32100
KEY-K,25600
KEY-L,53500
KEYS,1404200
KF,15700
KFRC,82100
KFS,18600
KFY,287500
KGC,14871600
KGS,700400
KIM,3605100
KIM-L,6800
KIM-M,6300
KIM-N,94600
KIND,1391000
KIO,108400
KKR,3211400
KKRS,22500
KLC,572600
KLG,2169000
KMB,2305100
KMI,11272700
KMPB,7900
KMPR,385300
KMT,866900
KMX,1605600
KN,1892200
KNF,329900
KNOP,71400
KNSL,126600
KNTK,642000
KNX,2901900
KO,14473200
KODK,3768900
KOF,298800
KOP,70300
KORE,19500
KOS,3673400
KR,3694800
KRC,1390700
KRE-A,43300
KREF,286700
KRG,1912900
KRO,152600
KRP,518700
KSS,58872300
KT,3420000
KTB,453200
KTF,50700
KTH,1300
KTN,800
KUKE,75300
KVUE,12315600
KVYO,1270100
KW,858200
KWR,153400
KYN,334900
L,561600
LAAC,1263500
LAC,4699400
LAD,220300
LADR,990900
LAN.W,11900
LANV,1002200
LAW,72900
LAZ,917900
LB,461600
LBRT,2264400
LC,831600
LCII,228900
LDI,359200
LDOS,1278500
LDP,61900
LEA,790900
LEG,1338000
LEN,1997200
LEN.B,20100
LEO,157600
LEV,823300
LEV.A,32700
LEVI,1893900
LFT,80200
LFT-A,100
LGF.A,827600
LGF.B,1104900
LGI,47500
LH,604600
LHX,765800
LICY,832300
LII,428400
LITB,40500
LLY,6622600
LMND,2317600
LMT,1345700
LNC,713300
LNC-D,20300
LND,48600
LNG,1314100
LNN,119700
LOAR,254700
LOB,127200
LOCL,11200
LOMA,1460000
LOW,2422200
LPG,603800
LPL,127500
LPX,479900
LRN,574700
LSPD,744500
LTC,352300
LTH,999600
LTM,119600
LU,2309400
LUMN,10804100
LUV,5992900
LVS,5795600
LVWR,12400
LW,1830800
LXFR,64600
LXP,1845800
LXP-C,1700
LXU,180700
LYB,3047100
LYG,8387600
LYV,2338100
LZB,494100
LZM,56100
LZM.W,600
