Ticker,Volume,number_options
FUN,3173000,6
FVRR,520200,6
GEN,2871100,6
GENI,3806600,6
GGAL,1012600,6
GLBE,1401000,6
GLDD,640800,6
GLNG,2326100,6
GLOB,281000,6
GOGO,573300,6
GOTU,1468500,6
GPCR,591500,6
GRMN,1160700,6
GRND,829500,6
GWRE,850000,6
HAE,602100,6
HBI,8765400,6
HCC,677900,6
HCP,2272200,6
HELE,396200,6
HIMX,912600,6
HLIT,588900,6
HMY,3220700,6
HOUS,1043900,6
HROW,254800,6
HUMA,2979000,6
HUN,1572100,6
HXL,885000,6
IAG,5178600,6
IBKR,947400,6
IBN,3933100,6
IGT,1183100,6
IIPR,292000,6
IMPP,181700,6
INBX,45400,6
INOD,1897000,6
INSP,421900,6
INZY,1414200,6
IONS,1341100,6
IR,1426700,6
ITRI,477300,6
ITUB,21295400,6
JBHT,932200,6
JBL,865400,6
JEF,1425400,6
JSPR,227300,6
KBR,1137100,6
KD,2826500,6
KEYS,1404200,6
KTOS,1117700,6
LAZ,917900,6
LEVI,1893900,6
LFST,1236000,6
LHX,765800,6
LII,428400,6
LPSN,2791600,6
LSCC,1813000,6
LSPD,744500,6
LW,1830800,6
LXRX,2931700,6
LZ,2139600,6
MASI,834200,6
MAXN,2925800,6
MBI,641700,6
MCHI,1623000,6
MCRB,2880800,6
MDGL,383100,6
MGA,1933600,6
MGNI,1537200,6
MIDD,541300,6
MIRM,323900,6
MMYT,506000,6
MNDY,666200,6
MNMD,1916900,6
MOD,450300,6
MP,3269600,6
MPLX,1177100,6
MPWR,1287300,6
MQ,9744300,6
MRUS,732300,6
NAT,2967200,6
NEP,2048200,6
NEXT,2274500,6
NICE,422600,6
NMM,228900,6
NNOX,1421100,6
NOG,790400,6
NTLA,2178000,6
NVCR,603500,6
NVD,1223200,6
NVS,1336400,6
NVTS,4986900,6
NXT,1676700,6
OCGN,2374700,6
OHI,1834900,6
OMF,606200,6
OTEX,465600,6
OUST,1007700,6
OWL,4204000,6
PACB,5964500,6
PAGS,8297200,6
PAYO,4854900,6
PCVX,906000,6
PD,1962800,6
PENG,1255100,6
PGNY,1486400,6
PGY,1728300,6
PH,364600,6
PII,859600,6
PNR,1286300,6
PSEC,2573900,6
PSNY,3658900,6
PTC,755900,6
PTEN,6904900,6
PTLO,988000,6
PUBM,302000,6
PVH,863700,6
QURE,431400,6
RACE,220700,6
RARE,281300,6
RCAT,10491800,6
RDUS,132100,6
RGEN,347000,6
RITM,2956900,6
RJF,1232900,6
RL,793800,6
RMBS,1042200,6
RMD,676200,6
RSI,2920700,6
RVLV,1378600,6
RZLT,186000,6
SA,698400,6
SAGE,725000,6
SANA,1222000,6
SBSW,5483900,6
SEI,725200,6
SFM,1470400,6
SG,1505700,6
SGMO,8343000,6
SHLS,5863500,6
SIGA,774100,6
SJM,3914100,6
SMG,1075600,6
SN,989300,6
SNBR,411900,6
SNY,3035800,6
SONO,2035000,6
SPHR,536600,6
ST,1315700,6
STLA,14663100,6
STWD,1747500,6
SWBI,487700,6
SWK,1290100,6
TDS,1190000,6
TERN,2767400,6
TGLS,255100,6
TH,270300,6
TM,410600,6
TMC,1816400,6
TMDX,1757300,6
TNDM,1311500,6
TPX,1899600,6
TRUP,357200,6
TSE,591600,6
TSEM,560400,6
TTE,2075900,6
TTSH,20400,6
UGI,7975000,6
UL,2118600,6
UNIT,2015200,6
UP,1224700,6
UPWK,2868200,6
USFD,1586200,6
UTHR,265000,6
UTZ,717900,6
VAL,1112500,6
VEEV,1044600,6
VICI,3589500,6
VIRT,499500,6
VRNA,1223300,6
VTLE,772500,6
VTR,3710800,6
VTRS,7419500,6
VVV,1330500,6
VZIO,2267700,6
WAL,696700,6
WEC,1197400,6
WELL,2874700,6
WEN,2685000,6
WGMI,709100,6
WOOF,5101900,6
WWW,826300,6
XEL,3155800,6
YETI,1464100,6
YEXT,492300,6
YOU,1650000,6
YPF,2934100,6
ZVRA,402300,6
ABL,678100,5
ABOS,322500,5
ACAD,1254900,5
ACCD,1027700,5
ACHC,1632600,5
ACRS,1997300,5
ADAP,387600,5
ADC,576400,5
ADNT,1250400,5
AEIS,383400,5
AESI,1780400,5
AGIO,484500,5
AGO,328600,5
AHCO,705200,5
AIOT,1807200,5
AIR,165300,5
AIV,386300,5
AKRO,397600,5
ALDX,432300,5
ALHC,1342600,5
ALLT,709400,5
ALSN,347700,5
ALTO,449800,5
ALTR,488600,5
ALV,819800,5
AMBP,1619300,5
AMCR,15969400,5
AMCX,592200,5
AMLX,714100,5
AMN,988400,5
AMP,377400,5
AMPH,283700,5
AMPX,1963200,5
AMPY,167000,5
AMRN,1913800,5
AMTX,624200,5
ANGI,815300,5
AORT,154800,5
APGE,448600,5
APLT,2471800,5
APPN,324600,5
ARCB,197200,5
ARCH,323000,5
ARDT,134800,5
ARGX,361800,5
ARI,685500,5
ARLP,389900,5
AROC,1169600,5
ARR,1064300,5
AS,1452800,5
ASH,335200,5
ASPI,28925900,5
ASRT,596700,5
ASTL,825700,5
ATEN,1528700,5
ATGE,185400,5
ATI,881200,5
ATYR,694800,5
AUTL,1802400,5
AVNT,535100,5
AVPT,1872800,5
AVTE,165000,5
AVXL,2679700,5
AXS,623900,5
AXSM,557800,5
AXTA,1980300,5
AY,942600,5
AZO,247100,5
AZTA,802500,5
B,358900,5
BANC,2020200,5
BECN,518300,5
BEP,856600,5
BERY,1956000,5
BGS,1668500,5
BIB,13900,5
BIP,411300,5
BJRI,214300,5
BLCO,322700,5
BLDP,4311200,5
BLMN,1862700,5
BMEA,717300,5
BMI,205600,5
BNS,1217300,5
BORR,4646200,5
BOTZ,296700,5
BRY,2348800,5
BRZE,2788900,5
BSY,614200,5
BTAI,495000,5
BVN,603100,5
BWA,2298800,5
BWIN,328300,5
BYRN,287000,5
BZ,4187000,5
CACC,62500,5
CACI,197400,5
CAKE,1001300,5
CAL,449000,5
CCO,1588300,5
CDP,1315700,5
CDW,1792700,5
CE,2417400,5
CEIX,585100,5
CERS,1139200,5
CGEM,394600,5
CGEN,406600,5
CHKP,626900,5
CHRS,6098900,5
CLDX,3325100,5
CLNE,1266100,5
CLVT,6814000,5
CMBT,202000,5
CMP,716200,5
CMPO,739200,5
CMRE,407200,5
CNH,18210800,5
CNMD,404700,5
CNP,4399000,5
CODI,173100,5
COGT,827300,5
COLL,457100,5
COLM,392900,5
CON,8703400,5
COO,1312100,5
COTY,5655200,5
CPAY,325000,5
CPS,111000,5
CRAI,30600,5
CRBP,162000,5
CRC,572500,5
CRL,430800,5
CRNC,3239100,5
CRNT,2553900,5
CRUS,502100,5
CRVS,393800,5
CTRI,329800,5
CVI,1140100,5
CWBC,63700,5
CWK,1094500,5
CX,9261900,5
DAC,197900,5
DBD,213700,5
DBRG,1816100,5
DFLI,164900,5
DGX,756000,5
DHC,949000,5
DINO,1685200,5
DM,459600,5
DNB,1161600,5
DNMR,35200,5
DNTH,170500,5
DORM,181400,5
DOUG,1247800,5
DYN,1053800,5
EB,1854600,5
EDAP,125400,5
EDIT,3228300,5
EDU,956200,5
EGO,714500,5
ENLC,11809200,5
ENR,518600,5
ENS,163500,5
ENVA,141100,5
EPAM,582900,5
EPIX,255800,5
ERIC,23691600,5
ERO,470700,5
ESI,1483500,5
ESLT,17400,5
ESTA,349800,5
ETNB,374800,5
EVRG,1630300,5
EWBC,613800,5
EXPI,539700,5
EXR,623400,5
EXTR,1138300,5
EYPT,637900,5
EZPW,455100,5
FARO,126000,5
FCFS,260800,5
FHN,4134700,5
FIP,1415100,5
FIX,339100,5
FLYW,1605000,5
FMX,477700,5
FNGR,165300,5
FOA,137700,5
FOLD,1537400,5
FOR,116500,5
FOXF,1121300,5
FREY,1494000,5
FRHC,54400,5
FRO,3985700,5
FTRE,760600,5
FWONK,842300,5
GDRX,1010600,5
GES,1780200,5
GETY,589800,5
GFF,697000,5
GOSS,1336600,5
GPOR,288200,5
GPRE,807400,5
GRAL,843300,5
GSL,437300,5
GSM,1386200,5
GTES,3007300,5
GTLS,990500,5
GTN,1353500,5
GVA,494700,5
GWW,187100,5
HALO,1400300,5
HDB,4126500,5
HEAR,173600,5
HG,184600,5
HGV,3129800,5
HHH,173400,5
HOLX,1985200,5
HPK,143900,5
HQY,529700,5
HRB,1854400,5
HRI,233100,5
HTGC,992300,5
HTLD,381100,5
IAC,458500,5
IBTA,357100,5
IDT,90200,5
IDXX,587700,5
IESC,353900,5
IHRT,958500,5
ILPT,242000,5
IMCR,373500,5
IMUX,642200,5
INDV,1307300,5
INFN,528400,5
INGR,288800,5
INVA,1139500,5
INVH,2538800,5
INVZ,1414400,5
IQV,1370000,5
IRDM,1109800,5
IRT,2257800,5
IRTC,359400,5
