Ticker,Volume,number_options
TEVA,8369300,10
HPE,8299300,15
PAGS,8297200,6
BEKE,8272500,11
BA,8234900,18
KEY,8209900,11
BCS,8174000,6
M,8097500,11
PR,8052900,9
SHOP,8028900,14
VSH,7992000,5
UGI,7975000,6
CNK,7899400,7
CVS,7885100,14
SQ,7855200,14
MO,7787200,11
RDDT,7697100,14
GAP,7695500,11
VRT,7680900,12
SNOW,7669600,18
HR,7667100,4
EQT,7663400,11
TOST,7433400,11
BMY,7432800,15
CVX,7369900,16
WMB,7363100,12
INFY,7339600,8
NCLH,7312500,14
TFC,7296700,14
CNQ,7248900,9
CPRI,7222200,16
V,7071500,15
SU,7032600,13
ABBV,6947500,15
RBLX,6919300,15
NLY,6818500,11
VRN,6816600,5
CLVT,6814000,5
DIS,6808100,17
AG,6773300,12
NVO,6761300,13
FSM,6671700,6
CMG,6629700,13
LLY,6622600,17
BTU,6621500,12
PPL,6555700,7
MYE,6520700,4
PATH,6510700,13
DAN,6496900,4
TDOC,6427400,12
ORCL,6427200,15
EDR,6397600,7
NEM,6383600,17
PG,6276900,15
XPEV,6257900,12
JPM,6212100,17
AVTR,6181700,9
STM,6140300,8
CDE,6053300,7
RF,6036300,7
TME,6010600,7
LUV,5992900,11
CP,5979900,6
AI,5955400,10
ALTM,5881000,6
LVS,5795600,13
USB,5767500,15
CARR,5718700,7
MDT,5702500,12
JNJ,5683400,17
COTY,5655200,5
ASX,5618200,4
CRH,5616500,8
SRE,5602000,5
CNC,5544000,11
DAL,5499600,15
SBSW,5483900,6
ELAN,5445600,7
AU,5430700,8
VST,5331000,19
DAY,5322400,4
CAG,5294300,9
IAG,5178600,6
SCHW,5121000,17
ANF,5018200,11
IPG,4972300,4
OKE,4953000,8
BLND,4872300,4
HLN,4856800,4
EPD,4847600,11
EL,4799400,15
TJX,4724900,14
LAC,4699400,10
CPNG,4689700,14
CTRA,4676900,11
NXE,4676700,9
ALIT,4675400,6
NRG,4662400,13
BORR,4646200,5
EW,4643300,8
SUZ,4625500,4
APH,4606600,7
PL,4596100,4
ADT,4588100,4
HPP,4582900,7
ZTO,4582200,5
AGL,4577700,7
D,4577000,9
ENB,4560200,7
FTI,4553600,9
CRM,4492700,16
JWN,4457000,10
IP,4450000,12
IBM,4449500,14
FLG,4449000,7
JCI,4447900,8
UGP,4403200,4
CNP,4399000,5
CL,4380700,12
SHO,4351400,3
BAX,4311100,11
BSX,4284400,16
